# GLoss,DLoss,KLDivergence,RevKLDivergence
4.7229e-01,2.8339e+00,3.5012e-01,4.3849e-01
4.4302e-01,2.6541e+00,3.5829e-01,5.1856e-01
5.1049e-01,2.7017e+00,3.5460e-01,5.6425e-01
4.6422e-01,2.5503e+00,3.7623e-01,5.5967e-01
5.9006e-01,2.8609e+00,3.0047e-01,3.7418e-01
4.8383e-01,2.8101e+00,2.6667e-01,3.3464e-01
5.0729e-01,2.7260e+00,3.3254e-01,5.1321e-01
6.4568e-01,2.5603e+00,2.7546e-01,3.2537e-01
5.8243e-01,2.6604e+00,3.8854e-01,4.8623e-01
4.7925e-01,2.6978e+00,4.1740e-01,5.7469e-01
4.8204e-01,2.4762e+00,3.2118e-01,3.9575e-01
5.3956e-01,2.5670e+00,3.5447e-01,6.2530e-01
4.6236e-01,2.5485e+00,3.3050e-01,4.7213e-01
4.8668e-01,2.7423e+00,4.2811e-01,5.7307e-01
5.4917e-01,2.3875e+00,3.7000e-01,4.8117e-01
4.9082e-01,2.8552e+00,3.4836e-01,5.3112e-01
5.2935e-01,2.9074e+00,2.4398e-01,2.9059e-01
5.7460e-01,2.8176e+00,3.3625e-01,5.4161e-01
5.3383e-01,2.9674e+00,3.7548e-01,4.4644e-01
4.9011e-01,2.9801e+00,3.6261e-01,4.6194e-01
6.2936e-01,2.7428e+00,3.6828e-01,4.6376e-01
6.0683e-01,2.9232e+00,3.6392e-01,4.5211e-01
5.1114e-01,2.7972e+00,3.9177e-01,5.5598e-01
4.8927e-01,2.3573e+00,3.4953e-01,4.8980e-01
5.8472e-01,2.5927e+00,3.4926e-01,4.3385e-01
4.9313e-01,2.5201e+00,3.1085e-01,3.4212e-01
4.2237e-01,2.6546e+00,3.5077e-01,4.3728e-01
5.4963e-01,2.6833e+00,3.0218e-01,3.9419e-01
5.3705e-01,2.7934e+00,3.0779e-01,4.1353e-01
4.9578e-01,2.5353e+00,2.9142e-01,3.4890e-01
5.4484e-01,2.6383e+00,3.9013e-01,5.1674e-01
5.5956e-01,2.9165e+00,3.9898e-01,4.5133e-01
5.9121e-01,2.3833e+00,3.1463e-01,3.7038e-01
6.5532e-01,2.5767e+00,3.8436e-01,5.0649e-01
4.7857e-01,2.7055e+00,4.8918e-01,6.8594e-01
4.6680e-01,2.6018e+00,3.7440e-01,4.6599e-01
3.6473e-01,2.7752e+00,4.4077e-01,5.3078e-01
5.1843e-01,2.3253e+00,3.6284e-01,4.9273e-01
5.1591e-01,2.8042e+00,3.2033e-01,3.7684e-01
5.2971e-01,2.4154e+00,3.8290e-01,4.9478e-01
3.9189e-01,2.5565e+00,3.2081e-01,3.8897e-01
5.8241e-01,2.6857e+00,3.6869e-01,5.2864e-01
5.8532e-01,2.3197e+00,2.9075e-01,3.1722e-01
5.3948e-01,2.6090e+00,3.8201e-01,5.4342e-01
5.0615e-01,2.7957e+00,3.3925e-01,4.8279e-01
5.1335e-01,2.7954e+00,3.6730e-01,4.2184e-01
5.1625e-01,2.7490e+00,3.5000e-01,3.9050e-01
4.7174e-01,2.9480e+00,3.8904e-01,4.8444e-01
5.6428e-01,2.5393e+00,3.0834e-01,4.4026e-01
4.8746e-01,3.0307e+00,3.6175e-01,4.2052e-01
5.2064e-01,2.3860e+00,3.2485e-01,4.6475e-01
5.3648e-01,2.7227e+00,3.3743e-01,3.8113e-01
5.3133e-01,2.6762e+00,4.2322e-01,5.5599e-01
5.7124e-01,2.8012e+00,2.6772e-01,2.9490e-01
5.4436e-01,2.6196e+00,4.2741e-01,5.0469e-01
4.8546e-01,2.5053e+00,4.4838e-01,5.6613e-01
5.0873e-01,2.5858e+00,3.6254e-01,4.1476e-01
6.0064e-01,2.5785e+00,4.1929e-01,5.1484e-01
5.4990e-01,2.3730e+00,3.3429e-01,4.8413e-01
5.8794e-01,3.2797e+00,3.9163e-01,5.0646e-01
4.7849e-01,2.5369e+00,3.6980e-01,4.8064e-01
6.2108e-01,2.7754e+00,3.0375e-01,4.3021e-01
5.6391e-01,2.5732e+00,4.1876e-01,5.1148e-01
4.2387e-01,2.9720e+00,3.3440e-01,4.2281e-01
4.9814e-01,2.7839e+00,3.6023e-01,4.0559e-01
4.8346e-01,2.6575e+00,4.2043e-01,5.0014e-01
5.8567e-01,2.6806e+00,4.3174e-01,4.7678e-01
5.3908e-01,2.5584e+00,3.2875e-01,4.3940e-01
6.0177e-01,2.7009e+00,4.4165e-01,4.6580e-01
5.3039e-01,2.4032e+00,3.5582e-01,4.4215e-01
6.4982e-01,2.4671e+00,3.2218e-01,3.8752e-01
6.3360e-01,2.4811e+00,3.4631e-01,4.0600e-01
5.2650e-01,2.5856e+00,3.3755e-01,4.2107e-01
5.3676e-01,2.8695e+00,3.6635e-01,4.7574e-01
5.7703e-01,3.0054e+00,3.0591e-01,3.8657e-01
4.8154e-01,2.6442e+00,5.4320e-01,6.9292e-01
5.7923e-01,2.9422e+00,4.3632e-01,5.3863e-01
4.3789e-01,2.7025e+00,4.6920e-01,5.9574e-01
5.1173e-01,2.8966e+00,3.2100e-01,4.7381e-01
4.8569e-01,2.7037e+00,2.7437e-01,3.1543e-01
5.5183e-01,3.0518e+00,4.4208e-01,5.8946e-01
5.2448e-01,2.3573e+00,3.5137e-01,4.3085e-01
4.9001e-01,2.6609e+00,3.5833e-01,4.5808e-01
4.4971e-01,3.0522e+00,4.2687e-01,6.5278e-01
5.3240e-01,2.6082e+00,3.4316e-01,5.2375e-01
5.3344e-01,2.9071e+00,4.0947e-01,5.0798e-01
5.8607e-01,2.5266e+00,3.8234e-01,4.2641e-01
5.0496e-01,2.7248e+00,4.3507e-01,5.2703e-01
4.3746e-01,3.0339e+00,3.6835e-01,4.4043e-01
5.3128e-01,2.8621e+00,4.2344e-01,8.1514e-01
4.7379e-01,2.9726e+00,4.2625e-01,5.2163e-01
4.2173e-01,2.7752e+00,3.1623e-01,3.2063e-01
4.5007e-01,2.6836e+00,3.9322e-01,4.9514e-01
5.7524e-01,2.6741e+00,3.8058e-01,4.5514e-01
5.6859e-01,2.8190e+00,4.3074e-01,5.3572e-01
5.2152e-01,2.8896e+00,4.1382e-01,6.3118e-01
4.8798e-01,3.0566e+00,3.7659e-01,4.4892e-01
5.1103e-01,2.5775e+00,4.3766e-01,5.5086e-01
5.5902e-01,2.5818e+00,4.1255e-01,5.0739e-01
5.2031e-01,2.5948e+00,4.7410e-01,6.9568e-01
5.2078e-01,2.4513e+00,4.5599e-01,7.2470e-01
5.1512e-01,2.3489e+00,3.9140e-01,5.7704e-01
4.0333e-01,2.2602e+00,3.8044e-01,5.0674e-01
5.8970e-01,2.5741e+00,3.8250e-01,4.9186e-01
5.7461e-01,2.5764e+00,3.7264e-01,4.5639e-01
6.1565e-01,2.5135e+00,4.7835e-01,6.3205e-01
5.5259e-01,3.0228e+00,4.5775e-01,5.6964e-01
5.5020e-01,2.9037e+00,4.5736e-01,5.7543e-01
4.8094e-01,2.3921e+00,4.5375e-01,5.4905e-01
5.7482e-01,3.0878e+00,4.4973e-01,5.0563e-01
6.5449e-01,2.5529e+00,3.6722e-01,4.3132e-01
4.6300e-01,2.5085e+00,4.6300e-01,6.3140e-01
4.3637e-01,2.6197e+00,4.1585e-01,5.0796e-01
5.7251e-01,2.8464e+00,3.2637e-01,3.6483e-01
4.7766e-01,2.6887e+00,3.0815e-01,3.4528e-01
5.0535e-01,2.6488e+00,3.6562e-01,4.4681e-01
5.8507e-01,2.7357e+00,5.4761e-01,7.0335e-01
5.7585e-01,2.6184e+00,3.9505e-01,4.7208e-01
4.1418e-01,2.5871e+00,4.0765e-01,4.9256e-01
5.6635e-01,2.4103e+00,3.5420e-01,4.7344e-01
5.5103e-01,2.7486e+00,3.8611e-01,4.9329e-01
4.1277e-01,2.7845e+00,4.2216e-01,5.1320e-01
6.6672e-01,2.5894e+00,4.3766e-01,6.9570e-01
4.6929e-01,2.2969e+00,4.9252e-01,9.1712e-01
4.7454e-01,2.4307e+00,4.4124e-01,5.8176e-01
5.0550e-01,3.0179e+00,4.0010e-01,5.2234e-01
5.4909e-01,2.5642e+00,3.9653e-01,5.3065e-01
5.9769e-01,2.4936e+00,4.3308e-01,5.3335e-01
4.1167e-01,2.9766e+00,2.8861e-01,3.6804e-01
3.7884e-01,2.9643e+00,3.5177e-01,3.7987e-01
4.5299e-01,2.5521e+00,4.3892e-01,5.2158e-01
5.1814e-01,2.3636e+00,3.4105e-01,4.8922e-01
5.1990e-01,2.7382e+00,4.9398e-01,6.3011e-01
4.4070e-01,2.5777e+00,4.0169e-01,5.1828e-01
6.1135e-01,2.9013e+00,3.8896e-01,5.2897e-01
4.9697e-01,2.5838e+00,5.7275e-01,9.3267e-01
5.5860e-01,2.7992e+00,4.6857e-01,7.6250e-01
5.9754e-01,2.6148e+00,4.1278e-01,5.7075e-01
5.7924e-01,2.5450e+00,4.3099e-01,5.6256e-01
6.0734e-01,2.6925e+00,3.7872e-01,5.3750e-01
4.9103e-01,2.7353e+00,4.6215e-01,6.7555e-01
5.2717e-01,2.4614e+00,4.1049e-01,4.9222e-01
4.8436e-01,2.5955e+00,4.7786e-01,8.1577e-01
4.5029e-01,2.6312e+00,5.4995e-01,8.2116e-01
6.0030e-01,2.6695e+00,3.5145e-01,4.2370e-01
6.0701e-01,2.5627e+00,4.9804e-01,8.2700e-01
6.1900e-01,2.3102e+00,5.2156e-01,7.8105e-01
6.0937e-01,2.5866e+00,4.6336e-01,6.1805e-01
4.9680e-01,2.7246e+00,4.5380e-01,6.6574e-01
5.5030e-01,2.5344e+00,4.8355e-01,7.1927e-01
6.7980e-01,2.5499e+00,3.9724e-01,5.5953e-01
5.5418e-01,2.9578e+00,4.8894e-01,7.7139e-01
4.7166e-01,2.9603e+00,3.4073e-01,3.9865e-01
6.4306e-01,2.9074e+00,3.5434e-01,4.7952e-01
5.2750e-01,2.4112e+00,4.5495e-01,5.9262e-01
4.9476e-01,2.3906e+00,3.7204e-01,5.5883e-01
5.6049e-01,2.2460e+00,4.4320e-01,5.1839e-01
4.9349e-01,2.7258e+00,5.0851e-01,6.9289e-01
5.2386e-01,2.8244e+00,5.2758e-01,9.6529e-01
4.3031e-01,2.5790e+00,5.5409e-01,8.8650e-01
5.1980e-01,2.6953e+00,4.4920e-01,6.3401e-01
6.3647e-01,2.8586e+00,4.3432e-01,5.4868e-01
5.3906e-01,2.5993e+00,4.5135e-01,5.4895e-01
4.8488e-01,2.3741e+00,3.9496e-01,8.9938e-01
4.6399e-01,2.9808e+00,4.8442e-01,6.7913e-01
4.4935e-01,2.6622e+00,4.7982e-01,6.4289e-01
4.8296e-01,2.5729e+00,4.5717e-01,5.7046e-01
