# GLoss,DLoss,KLDivergence,RevKLDivergence
6.5124e-01,1.9178e+00,3.0176e-01,2.9138e-01
6.8627e-01,2.0799e+00,3.1115e-01,2.9485e-01
7.6229e-01,1.8800e+00,2.6721e-01,2.7104e-01
7.3151e-01,1.8977e+00,3.9263e-01,4.2757e-01
7.8208e-01,1.8594e+00,3.4322e-01,3.5077e-01
8.1743e-01,1.9187e+00,3.7643e-01,3.8487e-01
6.4466e-01,1.9617e+00,3.2526e-01,3.6809e-01
8.1258e-01,1.9984e+00,3.8086e-01,4.0206e-01
7.3838e-01,1.8105e+00,3.2161e-01,3.0819e-01
7.8749e-01,1.8371e+00,2.9565e-01,3.2492e-01
7.4439e-01,1.9139e+00,3.3111e-01,3.7192e-01
8.0074e-01,1.7603e+00,3.8233e-01,4.0834e-01
5.7636e-01,1.8228e+00,3.4061e-01,3.7190e-01
7.5137e-01,2.0435e+00,3.4015e-01,3.9338e-01
6.8028e-01,1.9691e+00,3.1686e-01,3.3357e-01
8.4558e-01,2.1118e+00,3.0043e-01,3.1701e-01
7.6748e-01,2.0478e+00,2.6639e-01,2.8691e-01
7.0259e-01,1.8357e+00,2.8102e-01,2.9377e-01
7.3706e-01,1.9494e+00,2.8759e-01,3.2944e-01
8.3445e-01,1.6552e+00,2.9205e-01,3.1818e-01
6.8944e-01,1.8501e+00,3.7315e-01,4.2880e-01
7.1967e-01,1.8638e+00,3.5743e-01,4.0817e-01
6.7383e-01,1.8389e+00,3.1606e-01,3.2246e-01
8.8770e-01,2.0399e+00,2.9856e-01,2.9236e-01
6.7944e-01,1.8286e+00,2.9001e-01,2.8610e-01
7.8537e-01,2.1625e+00,3.8767e-01,4.9875e-01
8.2211e-01,2.0758e+00,3.5862e-01,3.7370e-01
7.1649e-01,1.9588e+00,3.5772e-01,3.3929e-01
7.1200e-01,1.8008e+00,2.7785e-01,2.9012e-01
7.5871e-01,1.8910e+00,2.9544e-01,2.9293e-01
7.0153e-01,1.9531e+00,3.3289e-01,3.5886e-01
7.3624e-01,1.7735e+00,2.8621e-01,3.0044e-01
8.6809e-01,1.9112e+00,3.8729e-01,4.1102e-01
7.3754e-01,1.8077e+00,2.5732e-01,3.0997e-01
8.2026e-01,1.9650e+00,4.3768e-01,4.8054e-01
7.1761e-01,1.6823e+00,2.9546e-01,3.1479e-01
7.4753e-01,2.1458e+00,3.3356e-01,3.8717e-01
8.1532e-01,2.1344e+00,3.0785e-01,2.9463e-01
7.6224e-01,1.8700e+00,3.9995e-01,3.8093e-01
7.6419e-01,2.1014e+00,3.1658e-01,3.1104e-01
