# GLoss,DLoss
7.6911e-01,1.6396e+00
9.8932e-01,1.1623e+00
9.9370e-01,1.4287e+00
8.1881e-01,1.3914e+00
1.0660e+00,1.2277e+00
9.1812e-01,1.4442e+00
8.9194e-01,1.3942e+00
1.0395e+00,1.3290e+00
9.7765e-01,1.3028e+00
8.7462e-01,1.5068e+00
1.0182e+00,1.5057e+00
1.1507e+00,1.2643e+00
1.0611e+00,1.4221e+00
9.6651e-01,1.3508e+00
1.0753e+00,1.4103e+00
1.0514e+00,1.6735e+00
9.4694e-01,1.5177e+00
9.4964e-01,1.3486e+00
8.8305e-01,1.2211e+00
9.4485e-01,1.4038e+00
1.0924e+00,1.2486e+00
9.5072e-01,1.5472e+00
9.5299e-01,1.7024e+00
8.9664e-01,1.7691e+00
9.1788e-01,1.4308e+00
1.0213e+00,1.5700e+00
9.4447e-01,1.4627e+00
9.7937e-01,1.4324e+00
1.2822e+00,1.2487e+00
9.9504e-01,1.7595e+00
9.5464e-01,1.7258e+00
1.0497e+00,1.5330e+00
1.0162e+00,1.4213e+00
1.0495e+00,1.2972e+00
1.1235e+00,1.2888e+00
8.8806e-01,1.5954e+00
1.0410e+00,1.3404e+00
1.1098e+00,1.3284e+00
9.1512e-01,1.3554e+00
9.5985e-01,1.6234e+00
1.1011e+00,1.3161e+00
8.2555e-01,1.7529e+00
1.0607e+00,1.7062e+00
8.9601e-01,1.5737e+00
7.8714e-01,1.6064e+00
9.5968e-01,1.5482e+00
9.5290e-01,1.2355e+00
8.5491e-01,1.5477e+00
1.0480e+00,1.3976e+00
1.0274e+00,1.2252e+00
1.1273e+00,1.1470e+00
8.8310e-01,1.4360e+00
7.5268e-01,1.6338e+00
1.1014e+00,1.0976e+00
1.0146e+00,1.2751e+00
9.2516e-01,1.3817e+00
9.4916e-01,1.6168e+00
9.6707e-01,1.4384e+00
1.0062e+00,1.3515e+00
9.9094e-01,1.2698e+00
8.2446e-01,1.4697e+00
9.2926e-01,1.1716e+00
1.0230e+00,1.2791e+00
1.1986e+00,1.4737e+00
1.0002e+00,1.4418e+00
7.3939e-01,1.7712e+00
9.5500e-01,1.3844e+00
9.4716e-01,1.4731e+00
9.3286e-01,1.5770e+00
1.0558e+00,1.3652e+00
8.9495e-01,1.3793e+00
9.3919e-01,1.4392e+00
1.1215e+00,1.3769e+00
9.9276e-01,1.4244e+00
1.0561e+00,1.5565e+00
9.5888e-01,1.4805e+00
1.1568e+00,1.2131e+00
1.0835e+00,1.0875e+00
8.9618e-01,1.3375e+00
1.1830e+00,1.1988e+00
9.6331e-01,1.4217e+00
1.0294e+00,1.3203e+00
9.9896e-01,1.5833e+00
9.9642e-01,1.2358e+00
9.8847e-01,1.2133e+00
1.1383e+00,1.6051e+00
1.0170e+00,1.3757e+00
1.0832e+00,1.4859e+00
9.8634e-01,1.5388e+00
9.6561e-01,1.4159e+00
