# GLoss,DLoss,KLDivergence,RevKLDivergence
7.0542e-01,2.0145e+00,2.1142e-01,2.3612e-01
7.0021e-01,1.9569e+00,2.4800e-01,2.8947e-01
7.1531e-01,2.1098e+00,1.8985e-01,1.9016e-01
7.5101e-01,2.0792e+00,2.3452e-01,2.7664e-01
7.0173e-01,1.7766e+00,2.6160e-01,3.1802e-01
6.4160e-01,1.9281e+00,2.8112e-01,4.0632e-01
6.5855e-01,1.7846e+00,1.7002e-01,1.9810e-01
7.2169e-01,1.7893e+00,2.0268e-01,2.1335e-01
6.6071e-01,1.9585e+00,2.5999e-01,3.1736e-01
6.7233e-01,2.1191e+00,2.1731e-01,2.6231e-01
6.7712e-01,1.9611e+00,2.2598e-01,3.1159e-01
7.8065e-01,1.9832e+00,2.4810e-01,2.7402e-01
8.0689e-01,1.9501e+00,1.7820e-01,1.9769e-01
6.5861e-01,2.0611e+00,1.9906e-01,2.2830e-01
7.2119e-01,2.1291e+00,2.2573e-01,3.2132e-01
7.8051e-01,1.8959e+00,2.6917e-01,3.0711e-01
6.9232e-01,1.8045e+00,1.9905e-01,2.1941e-01
7.8039e-01,1.9442e+00,2.7043e-01,3.0365e-01
6.1731e-01,1.9197e+00,2.7525e-01,3.4247e-01
7.0881e-01,2.1134e+00,1.8748e-01,2.2484e-01
6.8550e-01,1.7405e+00,1.9634e-01,1.8639e-01
6.0765e-01,2.0974e+00,2.3084e-01,2.5781e-01
8.0336e-01,2.0796e+00,3.3653e-01,3.7194e-01
6.9587e-01,1.9886e+00,2.1016e-01,2.4332e-01
6.7571e-01,2.0240e+00,1.9300e-01,2.3866e-01
7.6071e-01,1.9308e+00,2.4014e-01,2.7184e-01
7.9411e-01,1.9096e+00,2.5096e-01,3.0187e-01
6.2241e-01,1.8882e+00,2.5850e-01,2.8909e-01
7.2649e-01,2.0825e+00,2.1023e-01,2.5997e-01
8.2801e-01,2.3265e+00,2.6741e-01,3.6235e-01
6.4401e-01,2.1432e+00,2.5789e-01,2.8835e-01
6.1253e-01,2.0418e+00,1.6264e-01,1.6458e-01
6.8153e-01,1.8375e+00,2.3505e-01,2.9306e-01
6.7847e-01,1.8540e+00,2.8436e-01,3.3549e-01
9.1974e-01,1.8065e+00,3.2250e-01,3.7056e-01
7.8388e-01,1.8886e+00,2.7467e-01,3.0912e-01
6.8439e-01,2.0867e+00,2.3987e-01,2.9568e-01
8.7875e-01,1.9834e+00,2.6886e-01,3.3602e-01
5.7597e-01,2.2050e+00,2.4577e-01,2.8978e-01
6.1423e-01,1.9226e+00,2.1441e-01,2.4452e-01
6.1213e-01,1.8732e+00,2.7822e-01,3.5088e-01
6.8789e-01,2.3377e+00,1.8037e-01,2.2037e-01
5.8748e-01,1.9004e+00,2.3906e-01,2.3581e-01
7.2797e-01,2.1918e+00,2.5863e-01,3.2971e-01
6.3998e-01,2.0666e+00,2.4569e-01,3.0506e-01
7.2908e-01,1.9903e+00,2.1979e-01,2.5422e-01
7.0498e-01,2.3822e+00,2.8742e-01,3.3810e-01
6.8827e-01,2.0745e+00,2.3732e-01,2.6662e-01
6.0630e-01,2.1759e+00,2.4164e-01,2.4846e-01
6.9584e-01,2.1389e+00,4.1203e-01,5.3092e-01
7.0226e-01,2.2179e+00,2.5594e-01,3.6302e-01
6.9870e-01,2.1434e+00,2.8205e-01,3.2407e-01
6.9826e-01,1.7600e+00,2.0155e-01,2.3283e-01
7.2170e-01,2.1369e+00,2.3592e-01,2.7125e-01
6.2001e-01,1.9858e+00,2.4580e-01,2.8718e-01
6.7886e-01,2.0693e+00,2.2527e-01,2.5657e-01
6.6393e-01,2.1674e+00,3.2035e-01,3.9767e-01
7.0296e-01,2.1319e+00,2.2413e-01,2.5367e-01
6.6816e-01,1.9989e+00,1.7984e-01,2.2015e-01
6.8779e-01,1.6728e+00,2.3404e-01,2.9271e-01
6.2551e-01,2.0036e+00,2.2947e-01,2.8943e-01
7.2288e-01,2.0938e+00,3.2637e-01,4.2379e-01
6.6105e-01,2.3476e+00,2.9732e-01,3.0348e-01
6.7914e-01,2.1468e+00,3.3102e-01,4.4368e-01
7.3549e-01,2.2538e+00,2.7585e-01,3.4917e-01
7.4459e-01,2.3173e+00,2.3381e-01,2.6443e-01
6.1654e-01,2.1039e+00,3.2555e-01,3.8249e-01
6.6218e-01,2.1283e+00,2.5976e-01,3.1363e-01
5.8880e-01,2.3573e+00,3.1003e-01,3.9674e-01
7.9615e-01,2.0246e+00,3.1462e-01,3.7070e-01
6.2535e-01,2.3873e+00,2.6458e-01,3.1635e-01
6.1579e-01,2.0618e+00,3.4955e-01,4.5665e-01
5.7521e-01,2.1222e+00,2.6502e-01,3.2351e-01
6.9083e-01,2.3018e+00,3.0210e-01,3.7905e-01
6.8862e-01,2.0151e+00,4.1039e-01,5.1465e-01
6.7930e-01,2.1302e+00,2.9218e-01,3.5277e-01
6.2546e-01,2.3514e+00,2.2724e-01,2.7409e-01
5.8764e-01,2.0584e+00,3.1080e-01,3.9005e-01
7.0606e-01,2.1047e+00,3.2110e-01,3.8021e-01
6.9652e-01,2.1500e+00,2.1224e-01,2.3858e-01
5.9091e-01,2.3018e+00,2.8488e-01,3.1306e-01
6.8423e-01,2.0871e+00,3.0137e-01,3.7487e-01
6.6862e-01,2.1373e+00,2.8056e-01,3.2716e-01
5.7255e-01,1.8706e+00,2.4468e-01,3.1914e-01
7.1048e-01,1.9681e+00,3.1101e-01,3.7905e-01
5.9808e-01,2.2775e+00,3.8070e-01,4.5983e-01
6.6035e-01,2.0520e+00,2.3353e-01,2.4595e-01
7.6257e-01,1.9885e+00,2.4576e-01,2.9449e-01
6.5675e-01,2.4314e+00,2.8598e-01,3.3788e-01
6.3968e-01,2.3385e+00,2.2055e-01,2.4886e-01
7.1184e-01,2.2210e+00,3.0809e-01,3.5409e-01
